UID,SUMMARY,START,END,SALLES
ADE6050726f6a65745f323032332d323032342d37363534392d302d33,PFT1 Filière Fruits Légumes,20240315T143000Z,20240315T163000Z,S04
ADE6050726f6a65745f323032332d323032342d3132333234322d302d31,Sociologie,20240311T123000Z,20240311T140000Z,Multimédia
ADE6050726f6a65745f323032332d323032342d3132323937312d352d30,Ppp,20240315T140000Z,20240315T153000Z,Multimédia
ADE6050726f6a65745f323032332d323032342d39323036342d302d30,R208 Stat. descriptives (G2),20240311T124500Z,20240311T144500Z,IN0.09
ADE6050726f6a65745f323032332d323032342d3131363137362d302d3139,R512 Géométrie (M),20240311T144500Z,20240311T164500Z,IN0.09
ADE6050726f6a65745f323032332d323032342d39303039302d302d30,SAE 2.2 - Analyse statistique TP Capteurs - TD - S2-B,20240315T124500Z,20240315T141500Z,S16-TD info
ADE6050726f6a65745f323032332d323032342d3131363138362d302d30,R514 Anglais (DS M),20240311T073000Z,20240311T093000Z,Salle DS
ADE6050726f6a65745f323032332d323032342d39343930342d302d31,R4A11 Dev mobile (G1.2),20240313T073000Z,20240313T113000Z,IN1.09
ADE6050726f6a65745f323032332d323032342d35383032362d302d36,maths financieres,20240312T070000Z,20240312T083000Z,EX-001
ADE6050726f6a65745f323032332d323032342d37333834362d302d32,Filière lait,20240312T070000Z,20240312T083000Z,Amphithéâtre Bresse-Revermont
ADE6050726f6a65745f323032332d323032342d39383538302d302d30,SAE 4.2 - Microbiologie\  Produits laitiers - TP J2 - S4-A,20240313T144500Z,20240313T164500Z,S16-TD info\ Microbio 1\ Microbio 2
ADE6050726f6a65745f323032332d323032342d38373333392d302d35,R404 Meth. d'opt (G2),20240315T073000Z,20240315T093000Z,IN0.09
ADE6050726f6a65745f323032332d323032342d36363039332d302d31,Hygiène de l'environnement de production - TD - S4-A,20240311T150000Z,20240311T163000Z,S16-TD info
ADE6050726f6a65745f323032332d323032342d39383431352d302d31,SAE 4.2 - TP Lait - S4-B,20240315T123000Z,20240315T170000Z,S17\ Bioch 2
ADE6050726f6a65745f323032332d323032342d35373837362d302d33,SAé 4.03 Réal TPC,20240313T124500Z,20240313T144500Z,GT1.06
ADE6050726f6a65745f323032332d323032342d32353632352d302d30,Anglais - TP - S2-A1,20240312T144500Z,20240312T161500Z,S05
ADE6050726f6a65745f323032332d323032342d36323039372d302d35,SAé 4.01 Autonomie TPB,20240311T093000Z,20240311T113000Z,GT1.10
ADE6050726f6a65745f323032332d323032342d38373836342d302d30,R202 IHM (G1.1),20240312T073000Z,20240312T113000Z,IN1.09
ADE6050726f6a65745f323032332d323032342d38323333372d302d30,R4A08 Virtualisation (DS),20240314T100000Z,20240314T110000Z,Salle DS
ADE6050726f6a65745f323032332d323032342d39373536392d362d30,communication,20240311T100000Z,20240311T113000Z,EX-001
ADE6050726f6a65745f323032332d323032342d39373536342d302d36,fiscalité,20240313T083000Z,20240313T100000Z,EX-001
ADE6050726f6a65745f323032332d323032342d34393533352d302d30,Thermodynamique DS,20240311T073000Z,20240311T093000Z,Amphithéâtre La Dombes
ADE6050726f6a65745f323032332d323032342d3133363436372d302d30,SAÉ S5 (soutenances M),20240313T073000Z,20240313T081500Z,IN0.08
ADE6050726f6a65745f323032332d323032342d37363534392d302d30,PFT1 Filière Fruits Légumes,20240315T071500Z,20240315T091500Z,S04
ADE6050726f6a65745f323032332d323032342d37343739332d302d30,Bois énergie TD2,20240312T144500Z,20240312T164500Z,GT0.07
ADE6050726f6a65745f323032332d323032342d39363630382d312d30,Thermo 1 (calorimétrie\  principe 1) - TD - S2-B,20240315T101500Z,20240315T114500Z,S03
ADE6050726f6a65745f323032332d323032342d38333632302d312d30,améthodes d'enquete,20240311T140000Z,20240311T153000Z,IN0.04
ADE6050726f6a65745f323032332d323032342d34313031362d302d38,Mineure disciplinaire,20240314T071500Z,20240314T171500Z,EX-103\ EX-104
ADE6050726f6a65745f323032332d323032342d33313033372d302d36,économie,20240314T100000Z,20240314T113000Z,EX-001
ADE6050726f6a65745f323032332d323032342d3133363430392d302d30,SAÉ S5 (soutenances M),20240313T090000Z,20240313T113000Z,IN0.08
ADE6050726f6a65745f323032332d323032342d3130323237342d302d37,Saé 2.02 TPD Autonomie,20240314T073000Z,20240314T093000Z,GT1.10
ADE6050726f6a65745f323032332d323032342d39323036332d312d30,R208 Stat. descriptives (G1),20240311T073000Z,20240311T093000Z,IN0.07
ADE6050726f6a65745f323032332d323032342d37363239322d302d31,GIA TP atomisation,20240314T123000Z,20240314T163000Z,salle 1-mécaflu
ADE6050726f6a65745f323032332d323032342d36323135392d302d30,SAé 4.01 Info TD2,20240315T073000Z,20240315T093000Z,GT109a\ GT109b
ADE6050726f6a65745f323032332d323032342d37343738342d302d30,TP sérotypage - S2-B2,20240314T084500Z,20240314T104500Z,Microbio 1
ADE6050726f6a65745f323032332d323032342d32333632392d352d30,mathématiques,20240313T123000Z,20240313T140000Z,EX-001
ADE6050726f6a65745f323032332d323032342d34393536392d302d33,Hydraulique et aéraulique TD1,20240311T144500Z,20240311T164500Z,GT0.01
ADE6050726f6a65745f323032332d323032342d31393138382d302d30,TP mix TPB,20240314T073000Z,20240314T113000Z,Halle BERNOULLI-1
ADE6050726f6a65745f323032332d323032342d3131363139302d302d33,R505 Flutter,20240315T124500Z,20240315T164500Z,IN2.02
ADE6050726f6a65745f323032332d323032342d38393735382d342d30,SAé 4.03 Réal autonomie TPC,20240314T093000Z,20240314T113000Z,GT1.11
ADE6050726f6a65745f323032332d323032342d39393033372d302d30,Thermique du bâtiment éval TPA,20240313T073000Z,20240313T113000Z,GT109a
ADE6050726f6a65745f323032332d323032342d3130313435382d302d35,Epreuves tutorat,20240311T163000Z,20240311T183000Z,Amphithéâtre La Dombes
ADE6050726f6a65745f323032332d323032342d3130323237322d302d34,Saé 2.02 TPC Autonomie,20240311T124500Z,20240311T144500Z,GT1.06
ADE6050726f6a65745f323032332d323032342d34353037342d302d30,économie,20240312T083000Z,20240312T100000Z,Multimédia
ADE6050726f6a65745f323032332d323032342d3133343631382d302d3138,Projet,20240314T073000Z,20240314T113000Z,IN0.03
ADE6050726f6a65745f323032332d323032342d38333938302d302d30,Soutien - Equations Différentielles (non obligatoire) - TD - S4-A,20240313T070000Z,20240313T083000Z,S05
ADE6050726f6a65745f323032332d323032342d3130313737352d302d31,Toxi-infections alimentaires - CM - S2,20240313T070000Z,20240313T083000Z,S07
ADE6050726f6a65745f323032332d323032342d39363936392d302d32,Statistiques - TP - S4-A1,20240314T074500Z,20240314T091500Z,S11-TP info
ADE6050726f6a65745f323032332d323032342d39363630392d302d30,Contrôle de gestion,20240314T071500Z,20240314T111500Z,S03
ADE6050726f6a65745f323032332d323032342d33383836382d302d30,Anglais TD1,20240313T124500Z,20240313T144500Z,Labo Langues\ Multimédia
ADE6050726f6a65745f323032332d323032342d39373234342d302d30,Anglais - TP (1h) - S4-A2,20240314T083000Z,20240314T093000Z,S05
ADE6050726f6a65745f323032332d323032342d3130313332312d302d31,Physiologie du développement végétal - CM - S2,20240313T084500Z,20240313T101500Z,S07
ADE6050726f6a65745f323032332d323032342d35373138362d302d31,SAE 4.1 - TP - S4-A1,20240312T070000Z,20240312T110000Z,salle 1-mécaflu
ADE6050726f6a65745f323032332d323032342d32363433352d302d30,Anglais - TP - S2-C1,20240311T084500Z,20240311T101500Z,S07
ADE6050726f6a65745f323032332d323032342d3130323237312d302d38,Saé 2.02 TPB Autonomie,20240312T093000Z,20240312T113000Z,GT1.11
ADE6050726f6a65745f323032332d323032342d36323039372d302d36,SAé 4.01 Autonomie TPB,20240315T123000Z,20240315T143000Z,GT109a
ADE6050726f6a65745f323032332d323032342d3133373331342d302d30,Rattrapages Méth. numériques,20240315T144500Z,20240315T161500Z,IN0.09
ADE6050726f6a65745f323032332d323032342d38323432332d302d36,R4A11 Dev mobile (G2.2),20240311T124500Z,20240311T164500Z,IN1.09
ADE6050726f6a65745f323032332d323032342d3133363436362d302d30,R507 Intég. continue // SAÉ,20240312T073000Z,20240312T113000Z,IN1.06\ IN1.08
ADE6050726f6a65745f323032332d323032342d36393534372d302d33,Anglais - TD - S4-A,20240313T130000Z,20240313T143000Z,S05
ADE6050726f6a65745f323032332d323032342d37323234372d322d30,Expression/Communication - TP - S2-C2,20240311T084500Z,20240311T101500Z,S14-TP info
ADE6050726f6a65745f323032332d323032342d38373833342d302d30,R202 IHM (G2.2),20240312T124500Z,20240312T164500Z,IN1.07
ADE6050726f6a65745f323032332d323032342d3130313435372d302d30,Biotech,20240311T130000Z,20240311T150000Z,Amphithéâtre Le Bugey
ADE6050726f6a65745f323032332d323032342d38323331302d302d33,R406 Comm interne (G1),20240311T144500Z,20240311T164500Z,IN2.02
ADE6050726f6a65745f323032332d323032342d37343738362d302d30,TP sérotypage - S2-C2,20240311T144500Z,20240311T164500Z,Microbio 1
ADE6050726f6a65745f323032332d323032342d39373931342d322d30,Biotechnologie - TP (PhD) - S4-B2,20240311T124500Z,20240311T144500Z,Halle-Génie ferm.
ADE6050726f6a65745f323032332d323032342d35393132332d302d3230,Atelier Écriture,20240314T120000Z,20240314T140000Z,GT0.07
ADE6050726f6a65745f323032332d323032342d3132303034372d352d30,Espagnol,20240315T070000Z,20240315T083000Z,EX-003
ADE6050726f6a65745f323032332d323032342d3132323936322d302d36,Communication,20240314T100000Z,20240314T113000Z,Multimédia
ADE6050726f6a65745f323032332d323032342d3132333032312d302d30,communication,20240311T123000Z,20240311T140000Z,EX-107
ADE6050726f6a65745f323032332d323032342d39373230392d302d32,Communication - TD - S4-A,20240313T103000Z,20240313T120000Z,S16-TD info
ADE6050726f6a65745f323032332d323032342d37323238312d302d30,Bois énergie TD1,20240312T124500Z,20240312T144500Z,GT0.07
ADE6050726f6a65745f323032332d323032342d38373333392d302d3130,R404 Meth. d'opt (G2),20240312T073000Z,20240312T093000Z,IN0.07
ADE6050726f6a65745f323032332d323032342d3133343337322d302d35,Anglais - TP - FI,20240312T130000Z,20240312T143000Z,S05
ADE6050726f6a65745f323032332d323032342d39353636392d302d30,ED 3 ChO,20240313T150000Z,20240313T170000Z,Amphithéâtre Le Bugey
ADE6050726f6a65745f323032332d323032342d31353633302d332d30,SAé 4.02 Maint autonomie TPA,20240311T144500Z,20240311T164500Z,GT1.10
ADE6050726f6a65745f323032332d323032342d32373533352d332d30,Solaire PVsyst TD1,20240311T073000Z,20240311T093000Z,GT109a\ GT109b
ADE6050726f6a65745f323032332d323032342d39323036352d332d30,R208 Stat. descriptives (G3),20240315T073000Z,20240315T093000Z,IN0.07
ADE6050726f6a65745f323032332d323032342d3130323237322d302d33,Saé 2.02 TPC Autonomie,20240313T073000Z,20240313T093000Z,GT109b
ADE6050726f6a65745f323032332d323032342d3132333031392d302d30,communication,20240311T140000Z,20240311T153000Z,Multimédia
ADE6050726f6a65745f323032332d323032342d31313732342d302d30,QR ChO,20240315T071500Z,20240315T091500Z,Amphithéâtre Le Bugey
ADE6050726f6a65745f323032332d323032342d32383630332d302d30,Microbiologie Industrielle (Oraux),20240312T071500Z,20240312T111500Z,S07
ADE6050726f6a65745f323032332d323032342d35303437352d312d30,Droit du travail,20240315T140000Z,20240315T153000Z,EX-003
ADE6050726f6a65745f323032332d323032342d3133373337362d302d30,Rattrapage DS Véronique,20240311T143000Z,20240311T163000Z,Salle de réunion
ADE6050726f6a65745f323032332d323032342d39333233372d302d35,R213 Comm (G3),20240313T144500Z,20240313T164500Z,IN0.09
ADE6050726f6a65745f323032332d323032342d38373738392d302d30,R202 IHM (G3.1),20240313T073000Z,20240313T113000Z,IN1.08
ADE6050726f6a65745f323032332d323032342d32303533392d342d30,Portfolio - Autonomie - S6-FI,20240312T083000Z,20240312T093000Z,S14-TP info
ADE6050726f6a65745f323032332d323032342d33333033342d302d37,Rh,20240315T100000Z,20240315T113000Z,EX-002
ADE6050726f6a65745f323032332d323032342d32373533372d332d30,Solaire PVsyst TD2,20240314T073000Z,20240314T093000Z,GT2.11\ [?]
ADE6050726f6a65745f323032332d323032342d38383134302d302d3133,R207 Graphes (G2),20240314T073000Z,20240314T093000Z,IN0.07
ADE6050726f6a65745f323032332d323032342d39393034322d302d30,Thermique du bâtiment éval TPD,20240311T124500Z,20240311T164500Z,GT1.11
ADE6050726f6a65745f323032332d323032342d39323930352d302d37,R211 Droit (G3),20240311T144500Z,20240311T164500Z,IN0.07
ADE6050726f6a65745f323032332d323032342d34393533362d302d30,CTVA,20240312T124500Z,20240312T144500Z,Amphithéâtre La Dombes
ADE6050726f6a65745f323032332d323032342d34333436302d302d30,Bois énergie,20240312T093000Z,20240312T113000Z,Amphithéâtre La Dombes
ADE6050726f6a65745f323032332d323032342d38323334312d302d31,R4A10 Compl Web (G2),20240315T124500Z,20240315T164500Z,IN0.04
ADE6050726f6a65745f323032332d323032342d38373434372d302d30,R409 MASI (DS),20240312T124500Z,20240312T134500Z,Salle DS
ADE6050726f6a65745f323032332d323032342d3130313737352d302d30,Toxi-infections alimentaires - CM - S2,20240314T070000Z,20240314T083000Z,S07
ADE6050726f6a65745f323032332d323032342d38323035312d302d31,anglais,20240312T100000Z,20240312T113000Z,EX-003
ADE6050726f6a65745f323032332d323032342d32363433352d322d30,Anglais - TP - S2-C1,20240315T141500Z,20240315T154500Z,S05
ADE6050726f6a65745f323032332d323032342d34393537312d302d3130,Hydraulique et aéraulique TD2,20240313T144500Z,20240313T164500Z,GT0.08
ADE6050726f6a65745f323032332d323032342d3133363430342d302d30,R514 Anglais (M),20240311T134500Z,20240311T144500Z,IN0.00
ADE6050726f6a65745f323032332d323032342d32343333302d302d33,Propriété Industrielle,20240313T081500Z,20240313T111500Z,S04
ADE6050726f6a65745f323032332d323032342d35383534372d302d36,maths financieres,20240312T083000Z,20240312T100000Z,EX-002
ADE6050726f6a65745f323032332d323032342d37343036362d302d30,SAé 2.03 visite TPA,20240315T120000Z,20240315T160000Z,GT0.01
ADE6050726f6a65745f323032332d323032342d39373537382d362d30,communication,20240311T083000Z,20240311T100000Z,EX-002
ADE6050726f6a65745f323032332d323032342d3130303838312d302d34,Probabilités/Statistiques - TD - S2-A,20240311T144500Z,20240311T161500Z,S15
ADE6050726f6a65745f323032332d323032342d3130323237322d302d35,Saé 2.02 TPC Autonomie,20240314T073000Z,20240314T093000Z,GT1.11
ADE6050726f6a65745f323032332d323032342d31353633302d342d30,SAé 4.02 Maint autonomie TPA,20240312T073000Z,20240312T090000Z,GT1.10
ADE6050726f6a65745f323032332d323032342d3133343238352d302d31,SAE 2.2 - Rédac protocole TP photo - Autonomie - S2-A2,20240314T084500Z,20240314T101500Z,S14-TP info
ADE6050726f6a65745f323032332d323032342d3131363139302d302d30,R505 Flutter,20240314T073000Z,20240314T113000Z,IN2.02
ADE6050726f6a65745f323032332d323032342d39323135372d302d33,R210 Gest. Orga. (G1),20240312T144500Z,20240312T164500Z,IN0.09
ADE6050726f6a65745f323032332d323032342d3130313037352d302d34,Electricité/Electrotech - TD - S2-A,20240313T144500Z,20240313T161500Z,S04
ADE6050726f6a65745f323032332d323032342d38323038312d302d30,R403 Au-delà relationnel (G2),20240313T073000Z,20240313T093000Z,IN0.04
ADE6050726f6a65745f323032332d323032342d33333036342d362d30,management d'activités,20240315T140000Z,20240315T153000Z,EX-002
ADE6050726f6a65745f323032332d323032342d31353930332d302d30,Présentation Alternance BUT 3,20240312T090000Z,20240312T093000Z,Amphithéâtre La Dombes
ADE6050726f6a65745f323032332d323032342d38383132342d302d3131,R207 Graphes (G1),20240315T093000Z,20240315T113000Z,IN0.09
ADE6050726f6a65745f323032332d323032342d38323334302d302d33,R4A10 Compl Web (G1),20240315T073000Z,20240315T113000Z,IN0.04
ADE6050726f6a65745f323032332d323032342d36323038332d302d31,SAé 4.01 Autonomie TPA,20240314T093000Z,20240314T113000Z,GT1.06
ADE6050726f6a65745f323032332d323032342d35373935312d302d33,Automatisme TD2,20240313T093000Z,20240313T113000Z,GT0.07
ADE6050726f6a65745f323032332d323032342d39393033382d302d30,Thermique du bâtiment éval TPB,20240313T073000Z,20240313T113000Z,GT1.11
ADE6050726f6a65745f323032332d323032342d3133363437342d302d30,R4A08 Virtualisation // SAÉ,20240314T073000Z,20240314T093000Z,IN1.03\ IN1.05\ IN1.06\ IN1.07\ IN1.08\ IN0.05\ IN0.08
ADE6050726f6a65745f323032332d323032342d3133313735332d302d30,SAE 2.2 - TP capteurs O2 - S2-B1,20240314T084500Z,20240314T104500Z,Biologie
ADE6050726f6a65745f323032332d323032342d34333531322d302d34,Circuits électriques TD2,20240314T093000Z,20240314T113000Z,GT0.08
ADE6050726f6a65745f323032332d323032342d33383933392d312d33,Travaux personnels,20240315T143000Z,20240315T163000Z,Distanciel 1
ADE6050726f6a65745f323032332d323032342d31353537352d302d31,SAé 4.02 Maint TPB,20240311T144500Z,20240311T164500Z,GT109a
ADE6050726f6a65745f323032332d323032342d39363934352d302d32,SAE 4.1 - Autonomie - S4-A1,20240312T134500Z,20240312T151500Z,S11-TP info
ADE6050726f6a65745f323032332d323032342d33333631342d302d36,économie,20240314T083000Z,20240314T100000Z,EX-002
ADE6050726f6a65745f323032332d323032342d36323130342d302d36,SAé 4.01 Autonomie TPC,20240311T093000Z,20240311T113000Z,GT1.11
ADE6050726f6a65745f323032332d323032342d31353638372d302d30,SAé 4.02 Maint oral TPB,20240313T073000Z,20240313T093000Z,GT2.11\ GT0.01
ADE6050726f6a65745f323032332d323032342d31373630352d302d31,SAE 2.2 - Rédac protocole TP photo - Autonomie - S2-B,20240313T130000Z,20240313T143000Z,S16-TD info
ADE6050726f6a65745f323032332d323032342d37363239322d302d30,GIA TP atomisation,20240314T071500Z,20240314T111500Z,salle 1-mécaflu
ADE6050726f6a65745f323032332d323032342d3133313330302d302d30,Préparation Innov'Aliment - TP - S6-FI,20240313T071500Z,20240313T111500Z,Halle-Cuis exp
ADE6050726f6a65745f323032332d323032342d3133343335392d302d30,Communication professionnelle et managériale avancée - TP (2h) -,20240315T074500Z,20240315T094500Z,S05
ADE6050726f6a65745f323032332d323032342d3130323237312d302d37,Saé 2.02 TPB Autonomie,20240312T073000Z,20240312T093000Z,GT1.11
ADE6050726f6a65745f323032332d323032342d39393936322d302d34,Mise en marché - Commercialisation,20240311T121500Z,20240311T141500Z,S05
ADE6050726f6a65745f323032332d323032342d39333236352d302d30,R213 Comm bureautique - SAÉ 206 (G1),20240313T144500Z,20240313T164500Z,IN2.01
ADE6050726f6a65745f323032332d323032342d39373931342d302d30,Biotechnologie - TP (PhD) - S4-B2,20240311T074500Z,20240311T093000Z,S03
ADE6050726f6a65745f323032332d323032342d32363037342d342d30,Anglais - TP - S2-B1,20240313T144500Z,20240313T161500Z,S05
ADE6050726f6a65745f323032332d323032342d39393933312d302d30,Lipides - TD - S2-C,20240315T124500Z,20240315T141500Z,S07
ADE6050726f6a65745f323032332d323032342d39323135392d302d35,R210 Gest. Orga. (G2),20240313T144500Z,20240313T164500Z,IN0.07
ADE6050726f6a65745f323032332d323032342d38323431372d302d31,R4A11 Dev mobile (G2.1),20240311T124500Z,20240311T164500Z,IN1.07
ADE6050726f6a65745f323032332d323032342d3130313534302d302d30,PPP - TP - S2-C1,20240311T103000Z,20240311T120000Z,S11-TP info
ADE6050726f6a65745f323032332d323032342d35303539322d322d30,controle de gestion,20240311T070000Z,20240311T100000Z,EX-003
ADE6050726f6a65745f323032332d323032342d3133313330302d302d31,Préparation Innov'Aliment - TP - S6-FI,20240313T121500Z,20240313T161500Z,Halle-Cuis exp
ADE6050726f6a65745f323032332d323032342d39333237302d302d35,R213 Comm bureautique - SAÉ 206 (G2),20240311T073000Z,20240311T093000Z,IN2.02
ADE6050726f6a65745f323032332d323032342d3133313735362d302d30,SAE 2.2 - TP capteurs O2 - S2-C2,20240312T084500Z,20240312T104500Z,Biologie
ADE6050726f6a65745f323032332d323032342d3130313037372d302d33,Electricité/Electrotech - TD - S2-C,20240314T084500Z,20240314T101500Z,S04
ADE6050726f6a65745f323032332d323032342d39323835342d302d31,R211 Droit (G2),20240311T093000Z,20240311T113000Z,IN0.07
ADE6050726f6a65745f323032332d323032342d39373230392d302d33,Communication - TD - S4-A,20240311T131500Z,20240311T144500Z,S16-TD info
ADE6050726f6a65745f323032332d323032342d3133313039312d302d33,gema droit du travail,20240315T123000Z,20240315T140000Z,Multimédia
ADE6050726f6a65745f323032332d323032342d36323039372d302d37,SAé 4.01 Autonomie TPB,20240315T143000Z,20240315T163000Z,GT109a
ADE6050726f6a65745f323032332d323032342d39373234362d302d30,Anglais - TP (1h) - S4-B1,20240311T130000Z,20240311T140000Z,S04
ADE6050726f6a65745f323032332d323032342d31313731342d302d35,An. T&C,20240313T071500Z,20240313T091500Z,Amphithéâtre Le Bugey
ADE6050726f6a65745f323032332d323032342d3130303930322d302d30,Eau dans les aliments - TD - S2-C,20240313T130000Z,20240313T143000Z,S15
ADE6050726f6a65745f323032332d323032342d39373630362d302d30,Portfolio - Point d'étape - S6-FI,20240312T073000Z,20240312T083000Z,S11-TP info
ADE6050726f6a65745f323032332d323032342d38313332352d302d30,Techniques analytiques (CCM) - TP - S2-C,20240312T130000Z,20240312T160000Z,Bioch 1
ADE6050726f6a65745f323032332d323032342d3130303838332d302d34,Probabilités/Statistiques - TD - S2-C,20240313T144500Z,20240313T161500Z,S15
ADE6050726f6a65745f323032332d323032342d33333331312d302d30,GFB   Fermenteurs 1/2,20240313T091500Z,20240313T111500Z,S17
ADE6050726f6a65745f323032332d323032342d36303634392d302d30,IFS/BRC - TD - S4-A,20240315T070000Z,20240315T100000Z,S03
ADE6050726f6a65745f323032332d323032342d31353633352d342d30,SAé 4.02 Maint autonomie TPB,20240312T073000Z,20240312T090000Z,GT1.07b
ADE6050726f6a65745f323032332d323032342d38383134332d302d3134,R207 Graphes (G3),20240314T093000Z,20240314T113000Z,IN0.09
ADE6050726f6a65745f323032332d323032342d38343239302d302d30,CQHA HACCP machine 1/3,20240311T071500Z,20240311T091500Z,S05
ADE6050726f6a65745f323032332d323032342d31343434352d302d31,SAE 2.2 - Rédac protocole TP photo - Autonomie - S2-A1,20240311T103000Z,20240311T120000Z,S14-TP info
ADE6050726f6a65745f323032332d323032342d3130313037352d302d30,Electricité/Electrotech - TD - S2-A,20240311T084500Z,20240311T101500Z,S04
ADE6050726f6a65745f323032332d323032342d34393537312d302d3132,Hydraulique et aéraulique TD2,20240312T144500Z,20240312T164500Z,GT0.08
ADE6050726f6a65745f323032332d323032342d3133343631382d302d3230,Projet,20240312T073000Z,20240312T113000Z,IN0.03
ADE6050726f6a65745f323032332d323032342d38313934372d302d30,R401 Archi Log (G2),20240312T093000Z,20240312T113000Z,IN0.04
ADE6050726f6a65745f323032332d323032342d33333033392d362d30,management d'activités,20240315T123000Z,20240315T140000Z,EX-002
ADE6050726f6a65745f323032332d323032342d38363737372d302d33,R402 Qual. de Dev (ang) (G1),20240313T124500Z,20240313T164500Z,IN0.04
ADE6050726f6a65745f323032332d323032342d3130373636322d302d30,Emballage & Conditionnement - consignes,20240311T080000Z,20240311T090000Z,S15
ADE6050726f6a65745f323032332d323032342d38393132362d302d34,SAE,20240312T123000Z,20240312T153000Z,EX-003
ADE6050726f6a65745f323032332d323032342d3131393837302d302d30,QR CPG / MD,20240315T093000Z,20240315T113000Z,Amphithéâtre Le Bugey
ADE6050726f6a65745f323032332d323032342d313332392d302d31,SAE 4.1 - Autonomie - S4-A2,20240314T070000Z,20240314T083000Z,S16-TD info
ADE6050726f6a65745f323032332d323032342d31373834352d302d31,SAE 2.2 - Rédac protocole TP photo - Autonomie - S2-C1,20240312T084500Z,20240312T101500Z,S11-TP info
ADE6050726f6a65745f323032332d323032342d34393536392d302d35,Hydraulique et aéraulique TD1,20240315T073000Z,20240315T093000Z,GT0.02
ADE6050726f6a65745f323032332d323032342d34373830342d302d30,stratégie,20240315T100000Z,20240315T113000Z,EX-003
ADE6050726f6a65745f323032332d323032342d3131363139302d302d31,R505 Flutter,20240315T073000Z,20240315T113000Z,IN2.02
ADE6050726f6a65745f323032332d323032342d3130303839392d302d30,Eau dans les aliments - CM - S2,20240311T070000Z,20240311T083000Z,S07
ADE6050726f6a65745f323032332d323032342d39313835302d302d31,R206 Exploit. BD (G2),20240313T073000Z,20240313T113000Z,IN2.02
ADE6050726f6a65745f323032332d323032342d39383534382d302d30,EnR info -TD1,20240311T124500Z,20240311T144500Z,GT109a\ GT109b
ADE6050726f6a65745f323032332d323032342d33323530392d302d30,Conduction de chaleur DS,20240311T124500Z,20240311T144500Z,Salle DS
ADE6050726f6a65745f323032332d323032342d3133313735352d302d30,SAE 2.2 - TP capteurs O2 - S2-C1,20240311T144500Z,20240311T164500Z,Biologie
ADE6050726f6a65745f323032332d323032342d3133363532382d302d30,Dépistage Centre de Santé Publique,20240312T103000Z,20240312T133000Z,GT 0.03
ADE6050726f6a65745f323032332d323032342d39323036352d312d30,R208 Stat. descriptives (G3),20240312T124500Z,20240312T144500Z,IN0.07
ADE6050726f6a65745f323032332d323032342d3130313435382d302d36,Epreuves tutorat,20240313T163000Z,20240313T183000Z,Amphithéâtre La Dombes
ADE6050726f6a65745f323032332d323032342d35373834362d302d32,Automatisme TD1,20240312T144500Z,20240312T164500Z,GT0.01
